"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","DEWP_ATTRIBUTES","FRSHTT","FRSHTT_ATTRIBUTES","GUST","GUST_ATTRIBUTES","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","MXSPD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","SNDP_ATTRIBUTES","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"07643099999","43.576194","3.963014","5.18","2023-01-01","  56.1","24","000000",,"999.9",,"  61.0"," ","  55.4","*"," 17.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  58.5","24","  5.8","24"," 12.0","24"
"07643099999","43.576194","3.963014","5.18","2023-01-02","  55.5","24","010000",,"999.9",,"  59.5"," ","  57.2","*"," 18.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  58.8","24","  5.5","24"," 13.3","24"
"07643099999","43.576194","3.963014","5.18","2023-01-03","  51.3","24","110000",,"999.9",,"  58.5"," ","  42.8","*","  9.9",," 0.44","G","9999.9"," 0","999.9",,"999.9"," 0","  53.1","24","  5.4","24","  4.9","24"
"07643099999","43.576194","3.963014","5.18","2023-01-04","  43.3","24","100000",,"999.9",,"  61.2"," ","  36.0"," ","  8.0",," 0.03","G","9999.9"," 0","999.9",,"999.9"," 0","  48.2","24","  5.2","24","  3.6","24"
"07643099999","43.576194","3.963014","5.18","2023-01-05","  45.8","24","000000",,"999.9",,"  68.0","*","  45.7","*"," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  55.7","24","  6.4","24","  7.3","24"
"07643099999","43.576194","3.963014","5.18","2023-01-06","  46.5","24","000000",,"999.9",,"  59.5"," ","  41.0","*","  8.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  50.9","24","  6.6","24","  5.1","24"
"07643099999","43.576194","3.963014","5.18","2023-01-07","  50.2","24","000000",,"999.9",,"  59.0"," ","  45.9"," "," 15.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  53.2","24","  6.0","24","  9.0","24"
"07643099999","43.576194","3.963014","5.18","2023-01-08","  49.6","24","010000",,"999.9",,"  58.3"," ","  48.2","*","  8.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  52.7","24","  6.3","24","  5.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-09","  38.4","24","000000",," 35.9",,"  57.2","*","  47.7"," "," 25.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  52.1","24","  6.2","24"," 14.0","24"
"07643099999","43.576194","3.963014","5.18","2023-01-10","  38.0","24","000000",," 20.0",,"  59.0","*","  41.0","*"," 17.1",," 0.01","G","9999.9"," 0","999.9",,"999.9"," 0","  49.5","24","  7.4","24","  7.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-11","  40.7","24","000000",,"999.9",,"  63.0"," ","  37.0"," "," 18.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  49.6","24","  6.3","24","  7.6","24"
"07643099999","43.576194","3.963014","5.18","2023-01-12","  41.4","24","000000",,"999.9",,"  59.9"," ","  40.8"," ","  9.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  51.1","24","  6.2","24","  4.8","24"
"07643099999","43.576194","3.963014","5.18","2023-01-13","  43.2","24","010000",,"999.9",,"  62.6","*","  48.0"," "," 21.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  53.9","24","  7.3","24"," 11.1","24"
"07643099999","43.576194","3.963014","5.18","2023-01-14","  41.2","24","000000",,"999.9",,"  54.1"," ","  38.3"," ","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  46.9","24","  7.3","24","  4.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-15","  39.0","24","000000",,"999.9",,"  57.4","*","  41.0","*"," 20.0",," 0.00","B","9999.9"," 0","999.9",,"999.9"," 0","  48.1","24","  6.2","24","  8.3","24"
"07643099999","43.576194","3.963014","5.18","2023-01-16","  38.5","24","010000",," 31.1",,"  53.6","*","  40.3"," "," 22.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  46.7","24","  7.5","24"," 11.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-17","  38.2","24","110000",," 35.0",,"  52.9"," ","  37.4","*"," 24.1",," 0.07","G","9999.9"," 0","999.9",,"999.9"," 0","  44.6","24","  8.6","24","  8.9","24"
"07643099999","43.576194","3.963014","5.18","2023-01-18","  27.9","24","000000",,"999.9",,"  50.0"," ","  32.0","*"," 24.1",," 0.00","G"," 994.9"," 7","999.9",,"993.9"," 7","  42.7","24"," 14.6","24"," 12.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-19","  27.1","24","010000",,"999.9",,"  49.1"," ","  30.0"," "," 17.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  40.9","24","  7.1","24","  9.6","24"
"07643099999","43.576194","3.963014","5.18","2023-01-20","  25.9","24","000000",," 28.0",,"  50.0","*","  33.3"," "," 19.0",," 0.02","G","9999.9"," 0","999.9",,"999.9"," 0","  40.9","24","  7.2","24"," 10.7","24"
"07643099999","43.576194","3.963014","5.18","2023-01-21","  22.8","24","000000",," 31.1",,"  50.9"," ","  35.4"," "," 20.0",," 0.01","G","9999.9"," 0","999.9",,"999.9"," 0","  41.3","24","  8.7","24"," 13.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-22","  21.2","24","000000",," 31.1",,"  46.4"," ","  32.0","*"," 22.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.0","24","  7.3","24"," 11.1","24"
"07643099999","43.576194","3.963014","5.18","2023-01-23","  24.0","24","000000",,"999.9",,"  48.2","*","  28.8"," "," 15.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  37.5","24","  7.1","24","  6.7","24"
"07643099999","43.576194","3.963014","5.18","2023-01-24","  28.4","24","000000",,"999.9",,"  53.6","*","  28.6"," "," 17.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.2","24","  6.3","24","  8.4","24"
"07643099999","43.576194","3.963014","5.18","2023-01-25","  27.7","24","000000",,"999.9",,"  52.0"," ","  30.2","*"," 11.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  40.4","24","  6.5","24","  7.2","24"
"07643099999","43.576194","3.963014","5.18","2023-01-26","  26.9","24","000000",,"999.9",,"  50.2"," ","  27.3"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  37.9","24","  6.2","24","  6.7","24"
"07643099999","43.576194","3.963014","5.18","2023-01-27","  23.4","24","000000",,"999.9",,"  47.1"," ","  29.3"," "," 14.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  37.9","24","  6.9","24","  9.3","24"
"07643099999","43.576194","3.963014","5.18","2023-01-28","  25.6","24","000000",,"999.9",,"  47.3"," ","  30.2","*"," 15.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.8","24","  7.1","24","  8.5","24"
"07643099999","43.576194","3.963014","5.18","2023-01-29","  26.0","24","000000",,"999.9",,"  50.0","*","  25.3"," ","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  38.0","24","  6.9","24","  4.7","24"
"07643099999","43.576194","3.963014","5.18","2023-01-30","  26.3","24","000000",,"999.9",,"  55.8"," ","  23.0","*"," 15.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.5","24","  6.4","24","  6.8","24"
"07643099999","43.576194","3.963014","5.18","2023-01-31","  32.0","24","000000",,"999.9",,"  59.0"," ","  33.8"," "," 15.9",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  46.7","24","  8.0","24","  6.4","24"
"07643099999","43.576194","3.963014","5.18","2023-02-01","  30.4","24","000000",,"999.9",,"  61.3"," ","  29.3"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  44.4","24","  7.7","24","  5.8","24"
"07643099999","43.576194","3.963014","5.18","2023-02-02","  29.7","24","000000",,"999.9",,"  60.8","*","  31.6"," "," 20.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  46.2","24","  9.1","24","  8.8","24"
"07643099999","43.576194","3.963014","5.18","2023-02-03","  31.2","24","000000",,"999.9",,"  64.4"," ","  34.2"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  48.2","24","  8.5","24","  7.0","24"
"07643099999","43.576194","3.963014","5.18","2023-02-04","  34.4","24","000000",," 35.9",,"  67.5"," ","  37.4","*"," 25.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  53.4","24","  8.6","24"," 13.9","24"
"07643099999","43.576194","3.963014","5.18","2023-02-05","  35.3","24","000000",,"999.9",,"  62.6"," ","  38.8"," "," 17.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  51.7","24","  8.7","24","  9.7","24"
"07643099999","43.576194","3.963014","5.18","2023-02-06","  34.5","24","010000",,"999.9",,"  55.4"," ","  41.0","*"," 22.0",," 0.03","G","9999.9"," 0","999.9",,"999.9"," 0","  46.3","24","  8.6","24","  8.2","24"
"07643099999","43.576194","3.963014","5.18","2023-02-07","  34.2","24","010000",,"999.9",,"  53.6","*","  33.8","*"," 15.9",," 0.05","G","9999.9"," 0","999.9",,"999.9"," 0","  43.5","24","  7.2","24","  7.8","24"
"07643099999","43.576194","3.963014","5.18","2023-02-08","  30.1","24","000000",,"999.9",,"  51.8"," ","  30.9"," "," 11.1",," 0.06","G","9999.9"," 0","999.9",,"999.9"," 0","  41.1","24","  6.3","24","  6.9","24"
"07643099999","43.576194","3.963014","5.18","2023-02-09","  29.6","24","000000",,"999.9",,"  52.7"," ","  29.3"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  41.1","24","  6.4","24","  6.8","24"
"07643099999","43.576194","3.963014","5.18","2023-02-10","  28.0","24","000000",,"999.9",,"  53.6","*","  26.6","*","  6.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  40.1","24","  6.9","24","  3.6","24"
"07643099999","43.576194","3.963014","5.18","2023-02-11","  29.1","24","000000",,"999.9",,"  53.6","*","  26.1"," "," 11.1",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.2","24","  5.8","24","  4.4","24"
"07643099999","43.576194","3.963014","5.18","2023-02-12","  29.7","24","000000",,"999.9",,"  54.5"," ","  25.7"," ","  7.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  39.7","24","  5.7","24","  4.1","24"
"07643099999","43.576194","3.963014","5.18","2023-02-13","  34.3","24","000000",,"999.9",,"  56.1"," ","  28.4","*","  7.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  41.3","24","  5.1","24","  3.6","24"
"07643099999","43.576194","3.963014","5.18","2023-02-14","  38.2","24","000000",,"999.9",,"  55.9"," ","  33.8","*","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  44.6","24","  5.6","24","  4.4","24"
"07643099999","43.576194","3.963014","5.18","2023-02-15","  41.6","24","000000",,"999.9",,"  56.5"," ","  37.4","*","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  46.8","24","  5.5","24","  5.1","24"
"07643099999","43.576194","3.963014","5.18","2023-02-16","  39.7","24","100000",,"999.9",,"  55.9"," ","  32.0","*","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  43.2","24","  4.7","24","  4.4","24"
"07643099999","43.576194","3.963014","5.18","2023-02-17","  41.5","24","100000",,"999.9",,"  55.9"," ","  32.7"," ","  8.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  44.0","24","  3.7","24","  4.4","24"
"07643099999","43.576194","3.963014","5.18","2023-02-18","  45.4","24","100000",,"999.9",,"  60.8"," ","  36.9"," "," 12.0",," 0.00","G","9999.9"," 0","999.9",,"999.9"," 0","  49.3","24","  4.5","24","  3.8","24"
"07643099999","43.576194","3.963014","5.18","2023-02-19","  45.5","24","100000",,"999.9",,"  69.3"," ","  37.2"," ","  7.0",," 0.01","G","9999.9"," 0","999.9",,"999.9"," 0","  52.5","24","  5.2","24","  3.7","24"
